,index,Short_ticker,Name,Ticker,Date,Event Type,Adjusted Trading Date,trade_entry,trade_exit
0,396,A,Agilent Technologies Inc,A US,2018-02-14 16:05:00,ER,2018-02-15 00:00:00+00:00,2018-02-13 16:05:00,2018-02-14 16:05:00
1,1298,A,Agilent Technologies Inc,A US,2018-05-14 16:05:00,ER,2018-05-15 00:00:00+00:00,2018-05-11 16:05:00,2018-05-14 16:05:00
2,2023,A,Agilent Technologies Inc,A US,2018-08-14 16:05:00,ER,2018-08-15 00:00:00+00:00,2018-08-13 16:05:00,2018-08-14 16:05:00
3,2754,A,Agilent Technologies Inc,A US,2018-11-19 16:05:00,ER,2018-11-20 00:00:00+00:00,2018-11-16 16:05:00,2018-11-19 16:05:00
4,3297,A,Agilent Technologies Inc,A US,2019-02-20 16:05:00,ER,2019-02-21 00:00:00+00:00,2019-02-19 16:05:00,2019-02-20 16:05:00
5,4858,A,Agilent Technologies Inc,A US,2019-05-14 16:05:00,ER,2019-05-15 00:00:00+00:00,2019-05-13 16:05:00,2019-05-14 16:05:00
6,4861,A,Agilent Technologies Inc,A US,2019-05-14 16:05:00,ER,2019-05-15 00:00:00+00:00,2019-05-13 16:05:00,2019-05-14 16:05:00
7,5992,A,Agilent Technologies Inc,A US,2019-08-14 16:05:00,ER,2019-08-15 00:00:00+00:00,2019-08-13 16:05:00,2019-08-14 16:05:00
8,6774,A,Agilent Technologies Inc,A US,2019-11-25 16:05:00,ER,2019-11-26 00:00:00+00:00,2019-11-22 16:05:00,2019-11-25 16:05:00
9,7301,A,Agilent Technologies Inc,A US,2020-02-18 16:05:00,ER,2020-02-19 00:00:00+00:00,2020-02-14 16:05:00,2020-02-18 16:05:00
10,8277,A,Agilent Technologies Inc,A US,2020-05-21 16:05:00,ER,2020-05-22 00:00:00+00:00,2020-05-20 16:05:00,2020-05-21 16:05:00
11,9039,A,Agilent Technologies Inc,A US,2020-08-18 16:05:00,ER,2020-08-19 00:00:00+00:00,2020-08-17 16:05:00,2020-08-18 16:05:00
12,9855,A,Agilent Technologies Inc,A US,2020-11-23 16:05:00,ER,2020-11-24 00:00:00+00:00,2020-11-20 16:05:00,2020-11-23 16:05:00
13,10280,A,Agilent Technologies Inc,A US,2021-05-25 16:05:00,ER,2021-05-26 00:00:00+00:00,2021-05-24 16:05:00,2021-05-25 16:05:00
14,11109,A,Agilent Technologies Inc,A US,2021-08-17 16:05:00,ER,2021-08-18 00:00:00+00:00,2021-08-16 16:05:00,2021-08-17 16:05:00
15,11998,A,Agilent Technologies Inc,A US,2021-11-22 16:05:00,ER,2021-11-23 00:00:00+00:00,2021-11-19 16:05:00,2021-11-22 16:05:00
16,12632,A,Agilent Technologies Inc,A US,2022-02-22 16:05:00,ER,2022-02-23 00:00:00+00:00,2022-02-18 16:05:00,2022-02-22 16:05:00
17,13746,A,Agilent Technologies Inc,A US,2022-05-24 16:05:00,ER,2022-05-25 00:00:00+00:00,2022-05-23 16:05:00,2022-05-24 16:05:00
18,14591,A,Agilent Technologies Inc,A US,2022-08-16 16:05:00,ER,2022-08-17 00:00:00+00:00,2022-08-15 16:05:00,2022-08-16 16:05:00
19,15453,A,Agilent Technologies Inc,A US,2022-11-21 16:05:00,ER,2022-11-22 00:00:00+00:00,2022-11-18 16:05:00,2022-11-21 16:05:00
20,16246,A,Agilent Technologies Inc,A US,2023-02-28 16:05:00,ER,2023-03-01 00:00:00+00:00,2023-02-27 16:05:00,2023-02-28 16:05:00
21,17208,A,Agilent Technologies Inc,A US,2023-05-23 16:05:00,ER,2023-05-24 00:00:00+00:00,2023-05-22 16:05:00,2023-05-23 16:05:00
22,18066,A,Agilent Technologies Inc,A US,2023-08-15 16:05:00,ER,2023-08-16 00:00:00+00:00,2023-08-14 16:05:00,2023-08-15 16:05:00
23,18972,A,Agilent Technologies Inc,A US,2023-11-20 16:05:00,ER,2023-11-21 00:00:00+00:00,2023-11-17 16:05:00,2023-11-20 16:05:00
24,19746,A,Agilent Technologies Inc,A US,2024-02-27 16:05:00,ER,2024-02-28 00:00:00+00:00,2024-02-26 16:05:00,2024-02-27 16:05:00
25,32,AA,Alcoa Corp,AA US,2018-01-17 16:10:00,ER,2018-01-18 00:00:00+00:00,2018-01-16 16:10:00,2018-01-17 16:10:00
26,750,AA,Alcoa Corp,AA US,2018-04-18 16:10:00,ER,2018-04-19 00:00:00+00:00,2018-04-17 16:10:00,2018-04-18 16:10:00
27,1452,AA,Alcoa Corp,AA US,2018-07-18 16:10:00,ER,2018-07-19 00:00:00+00:00,2018-07-17 16:10:00,2018-07-18 16:10:00
28,2166,AA,Alcoa Corp,AA US,2018-10-17 16:10:00,ER,2018-10-18 00:00:00+00:00,2018-10-16 16:10:00,2018-10-17 16:10:00
29,2871,AA,Alcoa Corp,AA US,2019-01-16 16:10:00,ER,2019-01-17 00:00:00+00:00,2019-01-15 16:10:00,2019-01-16 16:10:00
