,tot_debt_tot_equity_class,zacks_x_sector_desc,straddle_pnl,quarter_with_ticker
0,low_debt/eq,Computer and Technology,120.51,Q4 2017A
1,low_debt/eq,Computer and Technology,-1278.93,Q1 2018A
2,low_debt/eq,Computer and Technology,408.79,Q2 2018A
5,low_debt/eq,Computer and Technology,-1101.96,Q1 2019A
6,low_debt/eq,Computer and Technology,-4.31,Q2 2019A
8,low_debt/eq,Computer and Technology,652.76,Q4 2019A
10,low_debt/eq,Computer and Technology,784.95,Q2 2020A
13,low_debt/eq,Computer and Technology,428.03,Q2 2021A
17,low_debt/eq,Computer and Technology,-271.55,Q2 2022A
24,low_debt/eq,Industrial Products,-336.07,Q4 2017AA
25,low_debt/eq,Industrial Products,618.71,Q1 2018AA
26,low_debt/eq,Industrial Products,-1670.21,Q2 2018AA
27,low_debt/eq,Industrial Products,-41.67,Q3 2018AA
28,low_debt/eq,Industrial Products,600.0,Q4 2018AA
29,low_debt/eq,Industrial Products,539.68,Q1 2019AA
30,low_debt/eq,Industrial Products,555.56,Q2 2019AA
32,low_debt/eq,Industrial Products,-895.83,Q4 2019AA
36,low_debt/eq,Industrial Products,-850.15,Q4 2020AA
39,low_debt/eq,Industrial Products,578.14,Q4 2021AA
40,low_debt/eq,Industrial Products,-1088.03,Q1 2022AA
41,low_debt/eq,Industrial Products,598.53,Q2 2022AA
42,low_debt/eq,Industrial Products,364.93,Q3 2022AA
43,low_debt/eq,Industrial Products,134.52,Q4 2022AA
49,low_debt/eq,Transportation,187.5,Q4 2017AAL
51,low_debt/eq,Transportation,-150.27,Q2 2018AAL
52,low_debt/eq,Transportation,-113.73,Q3 2018AAL
53,low_debt/eq,Transportation,-43.8,Q4 2018AAL
55,low_debt/eq,Transportation,-832.81,Q2 2019AAL
56,high_debt/eq,Transportation,292.25,Q3 2019AAL
57,low_debt/eq,Transportation,41.67,Q4 2019AAL
62,low_debt/eq,Transportation,446.08,Q2 2021AAL
65,low_debt/eq,Transportation,273.47,Q1 2022AAL
75,low_debt/eq,Retail/Wholesale,162.41,Q2 2018AAP
76,low_debt/eq,Retail/Wholesale,-355.44,Q3 2018AAP
79,low_debt/eq,Retail/Wholesale,615.91,Q2 2019AAP
80,low_debt/eq,Retail/Wholesale,-133.47,Q3 2019AAP
81,low_debt/eq,Retail/Wholesale,191.26,Q4 2019AAP
83,low_debt/eq,Retail/Wholesale,578.19,Q2 2020AAP
87,low_debt/eq,Retail/Wholesale,570.53,Q3 2021AAP
88,low_debt/eq,Retail/Wholesale,662.37,Q4 2021AAP
91,low_debt/eq,Retail/Wholesale,-1124.07,Q3 2022AAP
92,low_debt/eq,Retail/Wholesale,568.18,Q4 2022AAP
98,low_debt/eq,Computer and Technology,92.16,Q1 2018AAPL
99,low_debt/eq,Computer and Technology,-305.26,Q2 2018AAPL
101,low_debt/eq,Computer and Technology,-214.86,Q4 2018AAPL
102,good debt/eq,Computer and Technology,-50.12,Q1 2019AAPL
103,good debt/eq,Computer and Technology,463.24,Q2 2019AAPL
104,good debt/eq,Computer and Technology,447.5,Q3 2019AAPL
105,good debt/eq,Computer and Technology,438.75,Q4 2019AAPL
109,high_debt/eq,Computer and Technology,428.64,Q4 2020AAPL
110,high_debt/eq,Computer and Technology,491.38,Q2 2021AAPL
122,high_debt/eq,Medical,-284.41,Q1 2018ABBV
126,low_debt/eq,Medical,596.72,Q1 2019ABBV
128,low_debt/eq,Medical,-72.69,Q3 2019ABBV
135,high_debt/eq,Medical,424.27,Q4 2021ABBV
139,high_debt/eq,Medical,220.9,Q4 2022ABBV
173,low_debt/eq,Computer and Technology,484.37,Q4 2021ABNB
174,low_debt/eq,Computer and Technology,276.45,Q1 2022ABNB
175,low_debt/eq,Computer and Technology,619.53,Q2 2022ABNB
176,low_debt/eq,Computer and Technology,-265.21,Q3 2022ABNB
